Word1,Word2,POS,Sim1,Sim2,STD,Cosine Builtin,Pearson,Spearman,Cosine
biến,ngập,V,3.13,5.22,0.72,-0.005,1.0,-0.021,-0.005
nhà_thi_đấu,nhà,N,3.07,5.12,1.18,0.083,1.0,0.105,0.083
động,tĩnh,V,0.6,1.0,0.95,0.277,1.0,0.27,0.277
khuyết,ưu,N,0.2,0.33,0.4,0.177,1.0,0.151,0.177
cõi_tục,cõi_âm,N,0.6,1.0,0.95,None,None,None,None
thủ_pháp,biện_pháp,N,4.13,6.88,1.26,0.402,1.0,0.394,0.402
kết_duyên,thành_hôn,V,5.27,8.78,1.06,0.463,1.0,0.444,0.463
cấp_tiến,bảo_thủ,A,0.87,1.45,1.15,0.257,1.0,0.268,0.257
nước_lớn,nguy_hiểm,N,1.07,1.78,1.12,0.185,1.0,0.211,0.185
hoa,nhị,N,2.27,3.78,0.93,0.223,1.0,0.238,0.223
bất_lợi,thuận_lợi,N,0.33,0.55,0.79,0.535,1.0,0.427,0.535
phân_ly,sum_họp,V,0.47,0.78,1.09,0.078,1.0,0.086,0.078
nói_lắp,nói_móc,V,3.53,5.88,0.81,None,None,None,None
vây_ép,phong_toả,V,3.4,5.67,0.95,None,None,None,None
diễu_hành,tuần_hành,V,4.53,7.55,1.15,0.644,1.0,0.582,0.644
cao_trào,thoái_trào,N,0.53,0.88,0.88,0.361,1.0,0.35,0.361
thịnh,suy,V,0.67,1.12,1.14,0.06,1.0,0.079,0.06
con_voi,ngà,N,1.6,2.67,1.08,0.239,1.0,0.227,0.239
cá_chuối,cá_quả,N,4.13,6.88,1.31,0.166,1.0,0.154,0.166
đổ_bê_tông,biếu_xén,V,0.33,0.55,0.6,-0.173,1.0,-0.137,-0.173
con_đẻ,con_ruột,N,5.33,8.88,1.07,0.642,1.0,0.646,0.642
uỷ_nhiệm,phân_công,V,4.33,7.22,1.4,0.288,1.0,0.287,0.288
bay_lượn,chuyển_động,V,3.93,6.55,1.18,0.388,1.0,0.341,0.388
khêu_gợi,khơi_gợi,V,4.6,7.67,0.8,0.256,1.0,0.215,0.256
thăng_bằng,cân_bằng,V,3.53,5.88,1.2,0.48,1.0,0.5,0.48
chọn_lựa,tuyển_chọn,N,4.33,7.22,1.19,0.472,1.0,0.447,0.472
có_ích,hữu_ích,A,5.67,9.45,0.7,0.662,1.0,0.666,0.662
cứng_rắn,nhỏ_nhắn,A,0.47,0.78,0.96,0.225,1.0,0.173,0.225
bội_nghĩa,biết_ơn,V,0.4,0.67,0.8,None,None,None,None
lỗ_đen,hố_đen,N,3.33,5.55,1.14,0.734,1.0,0.735,0.734
vùi,đóng,V,1.47,2.45,1.41,-0.014,1.0,0.017,-0.014
tính_tình,tính_khí,N,3.4,5.67,0.8,0.688,1.0,0.658,0.688
mục_sư,giáo_sĩ,N,4.0,6.67,0.97,0.596,1.0,0.558,0.596
cộng_đồng,dân_tộc,N,3.53,5.88,1.02,0.375,1.0,0.397,0.375
rớ,sờ,V,5.2,8.67,0.75,0.386,1.0,0.391,0.386
trả_đũa,đền_đáp,N,3.13,5.22,1.09,0.233,1.0,0.247,0.233
tay_cầm,phân_đạm,N,0.47,0.78,1.02,-0.03,1.0,-0.029,-0.03
liên_hệ,nguỵ_trang,V,0.07,0.12,0.25,0.092,1.0,0.102,0.092
mới_tinh,mới_toanh,A,5.73,9.55,0.77,0.481,1.0,0.471,0.481
cột_trụ,bệ,N,2.13,3.55,0.81,0.443,1.0,0.374,0.443
họp_mặt,tiệc,N,3.93,6.55,0.85,0.428,1.0,0.362,0.428
lộn_xộn,gọn_gàng,A,0.4,0.67,0.61,0.344,1.0,0.334,0.344
chủ_động,thụ_động,V,0.53,0.88,0.88,0.478,1.0,0.477,0.478
vali,tay_cầm,N,1.47,2.45,0.88,0.166,1.0,0.191,0.166
đơn_tiết,đơn_âm,A,4.8,8.0,0.83,None,None,None,None
ghen_tị,ghen_ghét,V,4.6,7.67,1.14,0.352,1.0,0.32,0.352
ngả_nghiêng,sờn_lòng,V,3.0,5.0,1.1,None,None,None,None
ngôn_ngữ_học,khoa_học,N,3.67,6.12,1.4,0.537,1.0,0.484,0.537
vẹo,vẹo_vọ,A,4.93,8.22,0.93,None,None,None,None
thu_gom,tiếp_sức,V,0.73,1.22,0.77,0.17,1.0,0.207,0.17
quy_trình,sáng_tác,N,3.2,5.33,0.83,-0.096,1.0,-0.093,-0.096
thành_thị,thị_thành,N,5.93,9.88,0.25,0.406,1.0,0.42,0.406
nhảy_nhót,nhích,V,3.6,6.0,1.14,0.177,1.0,0.18,0.177
ly_tâm,hướng_tâm,V,0.73,1.22,0.85,0.093,1.0,0.122,0.093
cống,đường_ống,N,4.4,7.33,1.08,0.656,1.0,0.67,0.656
còm,nhỏ_nhoi,A,3.8,6.33,1.22,0.159,1.0,0.152,0.159
bánh_răng,răng,N,1.87,3.12,0.81,0.257,1.0,0.277,0.257
nao_núng,kiên_định,V,0.27,0.45,0.57,0.252,1.0,0.21,0.252
bằng_hữu,bầu_bạn,N,4.27,7.12,1.24,0.314,1.0,0.336,0.314
thân,lưng,N,2.13,3.55,0.88,0.308,1.0,0.31,0.308
bút_chì,lô,N,0.0,0.0,0.0,0.142,1.0,0.12,0.142
cổng,ổ_khoá,N,2.27,3.78,0.77,0.354,1.0,0.36,0.354
dị_bản,đĩa_bay,N,0.47,0.78,0.88,0.166,1.0,0.119,0.166
nguây_nguẩy,ngúng_nguẩy,V,4.87,8.12,1.2,None,None,None,None
biên_nhận,ứng_chiến,V,0.6,1.0,0.8,None,None,None,None
truy_cập,thâm_nhập,V,4.27,7.12,0.77,0.49,1.0,0.505,0.49
chỉ_định,hạ_bút,V,0.27,0.45,0.57,None,None,None,None
âm,nguy_hiểm,N,0.33,0.55,0.6,0.09,1.0,0.101,0.09
